Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_11_539.jpg;0;1;0;2.961834;104.2796;89.40969;1.369664;39.64227;-0.001480119
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_11_605.jpg;0;1;0;3.003324;104.4658;89.56264;1.370419;39.62582;-0.00148946
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_11_672.jpg;0;1;0;3.04466;104.6077;89.67915;1.370892;39.61447;-0.00104393
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_11_739.jpg;0;1;0;3.099226;104.7516;89.79719;1.373572;39.59883;-0.001487755
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_11_806.jpg;0;1;0;3.140662;104.9464;89.957;1.380991;39.5795;-0.001513326
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_11_873.jpg;0;1;0;3.180803;105.0948;90.07856;1.381759;39.5655;-0.001539802
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_11_939.jpg;0;1;0;3.235531;105.2451;90.20166;1.384693;39.55165;-0.001435239
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_12_006.jpg;0;1;0;3.275356;105.4484;90.36813;1.390263;39.5313;-0.001447412
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_12_072.jpg;0;1;0;3.315489;105.6031;90.49467;1.390813;39.51588;-0.001577705
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_12_139.jpg;0;1;0;3.368894;105.7598;90.62275;1.395206;39.50038;-0.001580057
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_12_206.jpg;0;1;0;3.409449;105.9716;90.79579;1.399043;39.47922;-0.001595272
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_12_273.jpg;0;1;0;3.449148;106.1326;90.92731;1.404901;39.46251;-0.001614651
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_12_339.jpg;0;1;0;3.501584;106.2955;91.06023;1.405049;39.44814;-0.001169221
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_12_406.jpg;0;1;0;3.541386;106.5157;91.23974;1.410281;39.42385;-0.001638568
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_12_473.jpg;0;1;0;3.580255;106.6829;91.37604;1.412338;39.40718;-0.001559731
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_12_540.jpg;0;1;0;3.632211;106.8521;91.5138;1.417585;39.38875;-0.00167188
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_12_606.jpg;0;1;0;3.67191;107.0805;91.69968;1.421776;39.36652;-0.001207981
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_12_673.jpg;0;1;0;3.723079;107.254;91.84074;1.424928;39.34797;-0.001228053
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_12_740.jpg;0;0.8007286;0;3.759415;107.4878;92.0307;1.422305;39.32324;-0.001199922
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_12_806.jpg;0;0.6000096;0;3.787191;107.6644;92.17411;1.410532;39.30123;-0.001048965
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_12_873.jpg;0;0.4006307;0;3.809003;107.8416;92.31779;1.37717;39.27662;-0.0009895961
